date,data,cols
1,0,channel_1
2,0,channel_1
3,1.12583,channel_1
4,1.76833,channel_1
5,0.02083,channel_1
6,0.42583,channel_1
7,0.90833,channel_1
8,-0.48166,channel_1
9,-0.17416,channel_1
10,1.81833,channel_1
11,1.69083,channel_1
12,0.91583,channel_1
13,0.20833,channel_1
14,1.30333,channel_1
15,1.13833,channel_1
16,0.68583,channel_1
17,1.34083,channel_1
18,1.05583,channel_1
19,1.35583,channel_1
20,1.25333,channel_1
21,1.36833,channel_1
22,1.05583,channel_1
23,1.58083,channel_1
24,1.74333,channel_1
25,1.78583,channel_1
26,1.56333,channel_1
27,1.75333,channel_1
28,1.94333,channel_1
29,1.34083,channel_1
30,1.72333,channel_1
31,2.60083,channel_1
32,3.15583,channel_1
33,3.19333,channel_1
34,2.78583,channel_1
35,2.87833,channel_1
36,2.67333,channel_1
37,3.15333,channel_1
38,3.05583,channel_1
39,2.56833,channel_1
40,3.19583,channel_1
41,3.36333,channel_1
42,3.56583,channel_1
43,2.83583,channel_1
44,2.74333,channel_1
45,2.22083,channel_1
46,2.04833,channel_1
47,2.66583,channel_1
48,3.11333,channel_1
49,2.53583,channel_1
50,2.83333,channel_1
51,3.45083,channel_1
52,1.87333,channel_1
53,0.63583,channel_1
54,0.62333,channel_1
55,0.137085,channel_1
56,-0.34916,channel_1
57,0.30083,channel_1
58,0.57583,channel_1
59,-0.71166,channel_1
60,-0.15166,channel_1
61,0.56333,channel_1
62,0.90083,channel_1
63,0.94333,channel_1
64,1.40083,channel_1
65,1.01833,channel_1
66,0.23333,channel_1
67,-0.59416,channel_1
68,-0.31666,channel_1
69,-1.21916,channel_1
70,-0.90916,channel_1
71,-1.18166,channel_1
72,-2.22666,channel_1
73,-2.72666,channel_1
74,-1.77916,channel_1
75,-1.84166,channel_1
76,-3.25666,channel_1
77,-4.09166,channel_1
78,-4.55666,channel_1
79,-4.18166,channel_1
80,-5.70666,channel_1
81,-6.43416,channel_1
82,-6.24666,channel_1
83,-4.80166,channel_1
84,-4.38166,channel_1
85,-4.06666,channel_1
86,-5.75166,channel_1
87,-5.96416,channel_1
88,-5.58166,channel_1
89,-5.39916,channel_1
90,-5.69166,channel_1
91,-5.74791,channel_1
92,-5.80416,channel_1
93,-5.86041,channel_1
94,-5.91666,channel_1
95,-5.84666,channel_1
96,-5.77666,channel_1
97,-5.70666,channel_1
98,-5.857285,channel_1
99,-6.00791,channel_1
100,-6.158535,channel_1
101,-6.30916,channel_1
102,-6.299517143,channel_1
103,-6.289874286,channel_1
104,-6.280231429,channel_1
105,-6.270588571,channel_1
106,-6.260945714,channel_1
107,-6.251302857,channel_1
108,-6.24166,channel_1
109,-6.348326667,channel_1
110,-6.454993333,channel_1
111,-6.56166,channel_1
112,-6.631035,channel_1
113,-6.70041,channel_1
114,-6.769785,channel_1
115,-6.83916,channel_1
116,-6.74416,channel_1
117,-6.64916,channel_1
118,-6.55416,channel_1
119,-6.598535,channel_1
120,-6.64291,channel_1
121,-6.687285,channel_1
122,-6.73166,channel_1
123,-7.143326667,channel_1
124,-7.554993333,channel_1
125,-7.96666,channel_1
126,-8.357493333,channel_1
127,-8.748326667,channel_1
128,-9.13916,channel_1
129,-10.53916,channel_1
130,-11.60416,channel_1
131,-11.43416,channel_1
132,-13.09416,channel_1
133,-13.58291,channel_1
134,-14.07166,channel_1
135,-14.19416,channel_1
136,-13.23916,channel_1
137,-12.88166,channel_1
138,-12.79916,channel_1
139,-13.23416,channel_1
140,-13.02291,channel_1
141,-12.81166,channel_1
142,-12.60041,channel_1
143,-12.38916,channel_1
144,-12.53749333,channel_1
145,-12.68582667,channel_1
146,-12.83416,channel_1
147,-12.719785,channel_1
148,-12.60541,channel_1
149,-12.491035,channel_1
150,-12.37666,channel_1
151,-12.43999333,channel_1
152,-12.50332667,channel_1
153,-12.56666,channel_1
154,-12.538535,channel_1
155,-12.51041,channel_1
156,-12.482285,channel_1
157,-12.45416,channel_1
158,-12.68082667,channel_1
159,-12.90749333,channel_1
160,-13.13416,channel_1
161,-13.2194725,channel_1
162,-13.304785,channel_1
163,-13.3900975,channel_1
164,-13.47541,channel_1
165,-13.81582667,channel_1
166,-14.15624333,channel_1
167,-14.49666,channel_1
168,-15.09041,channel_1
169,-15.68416,channel_1
170,-16.97916,channel_1
171,-18.02916,channel_1
172,-19.21416,channel_1
173,-17.73416,channel_1
174,-16.43416,channel_1
175,-15.86666,channel_1
176,-15.00666,channel_1
177,-14.29416,channel_1
178,-13.95916,channel_1
179,-13.84916,channel_1
180,-14.26541,channel_1
181,-14.68166,channel_1
182,-14.59791,channel_1
183,-14.51416,channel_1
184,-14.43041,channel_1
185,-14.34666,channel_1
186,-14.55999333,channel_1
187,-14.77332667,channel_1
188,-14.98666,channel_1
189,-14.89291,channel_1
190,-14.79916,channel_1
191,-14.70541,channel_1
192,-14.61166,channel_1
193,-14.75856571,channel_1
194,-14.90547143,channel_1
195,-15.05237714,channel_1
196,-15.19928286,channel_1
197,-15.34618857,channel_1
198,-15.49309429,channel_1
199,-15.64,channel_1
200,-15.61333333,channel_1
201,-15.58666667,channel_1
202,-15.56,channel_1
203,-15.355,channel_1
204,-15.15,channel_1
205,-15.31,channel_1
206,-15.55,channel_1
207,-15.42,channel_1
208,-15.86,channel_1
209,-15.7,channel_1
210,-15.72,channel_1
211,-15.74,channel_1
212,-15.76,channel_1
213,-15.78,channel_1
214,-15.77,channel_1
215,-15.76,channel_1
216,-15.75,channel_1
217,-15.849375,channel_1
218,-15.94875,channel_1
219,-16.048125,channel_1
220,-16.1475,channel_1
221,-16.07166667,channel_1
222,-15.99583333,channel_1
223,-15.92,channel_1
224,-15.91,channel_1
225,-15.9,channel_1
226,-15.89,channel_1
227,-15.88,channel_1
228,-16.19824,channel_1
229,-16.51648,channel_1
230,-16.83472,channel_1
231,-16.99404571,channel_1
232,-17.15337143,channel_1
233,-17.31269714,channel_1
234,-17.47202286,channel_1
